INFO:root:read_directory Ran with args: (), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_339.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1451.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_477.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_311.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1337.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1323.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_305.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_463.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1445.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_488.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1109.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_649.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_891.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_885.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1135.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_113.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_675.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_661.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_7.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_107.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1121.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_852.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_846.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_729.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1069.txt',), and kwargs: {}
INFO:root:read_text_file Ran with args: ('/Users/sajjadislam/Documents/Large_Data Index and Search/Project/Large_Data_indexing_searching/util/../Large_Dataset/file_1041.txt',), and kwargs: {}
